species_name,genus,tribe,haplochromine,water_system,lm_ecology,mouthbrooder,depth,piscivore,precaudal_count,caudal_count,total_count,ln_pc_ln_c,aspect_ratio,ln_length_ln_width,ln_ant_length_ln_width,ln_post_length_ln_width,n_count
Trematocara unimaculatum,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.436566996,2.926108358,3.404840695,-0.489541362,3.13223386,1.141622706,0.074357817,0.730999561,9
Trematocara zebra,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.40659641,2.939032257,3.401197382,-0.532435847,3.337195499,1.204654092,0.085053146,0.814305221,10
Trematochromis benthicola,Trematochromis,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.842739746,3.439278654,-0.203682417,2.612255052,0.959903376,-0.145634948,0.57350206,6
Trematocranus placodon,Trematocranus,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,demersal,non-piscivore,2.564949357,2.876082154,3.425789749,-0.311132797,2.308015213,0.835044346,-0.356358229,0.504888623,4
Triglachromis otostigma,Triglachromis,Limnochromini,Other,Lake Tanganyika,not_applicable,data_deficient,demersal,non-piscivore,2.659755191,2.890062639,3.4749674,-0.230307448,3.229862023,1.171853656,-0.107939032,0.859274731,10
Tropheops tropheops,Tropheops,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,demersal,non-piscivore,2.692223524,2.792411795,3.437399157,-0.100188271,2.616667067,0.961719831,-0.267808262,0.645908646,9
Tropheus brichardi,Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.652855904,2.733420175,3.387517784,-0.080564271,2.342788737,0.850891707,-0.320956916,0.562278296,10
Tropheus duboisi,Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.680453053,2.739482637,3.404365191,-0.059029584,2.187578831,0.782463357,-0.419119806,0.495217653,10
Tropheus moorii,Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.68735234,2.772197332,3.424150258,-0.084844993,2.261827508,0.815862265,-0.357544567,0.530154869,10
Tropheus polli,Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.708050201,2.778651184,3.437162074,-0.070600983,2.236684741,0.804730113,-0.410572226,0.543334316,10
"Tropheus sp. ""black""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.673553765,2.740319462,3.400863863,-0.066765696,2.379336453,0.866409477,-0.301293233,0.568005871,10
"Tropheus sp. ""brichardi kipili""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.666654478,2.759681018,3.407755346,-0.09302654,2.202387157,0.789365865,-0.388817809,0.498684082,10
"Tropheus sp. ""kirschfleck""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.673553765,2.753227166,3.407644173,-0.079673401,2.193011483,0.785034161,-0.377052366,0.498700981,10
"Tropheus sp. ""lukuga""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.652855904,2.772588722,3.407755346,-0.119732818,2.230017991,0.801863841,-0.351903683,0.517510983,10
"Tropheus sp. ""lunatus""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.673553765,2.778259794,3.420871275,-0.104706029,2.198929726,0.787684196,-0.372537946,0.506774039,10
"Tropheus sp. ""mpimbwe""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.708050201,2.778651184,3.437162074,-0.070600983,2.28904345,0.827981928,-0.386025255,0.549098116,10
"Tropheus sp. ""murago""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.680453053,2.784322257,3.427325127,-0.103869204,2.240264596,0.806414518,-0.372413866,0.530317223,10
"Tropheus sp. ""red""",Tropheus,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.673553765,2.772588722,3.417592293,-0.099034957,2.152159623,0.766184598,-0.399615448,0.500848104,10
Tylochromis bangwelensis,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.564949357,2.772588722,3.36729583,-0.207639365,2.291208409,0.828869252,-0.262664916,0.449559545,4
Tylochromis jentinki,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.708050201,2.772588722,3.433987204,-0.064538521,2.285231049,0.826467135,-0.346839376,0.483344594,1
Tylochromis labrodon,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.708050201,3.36729583,-0.068992871,2.304171262,0.834644637,-0.280047817,0.46595371,4
Tylochromis lateralis,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.628470476,2.726489779,3.372138909,-0.098019302,2.374654031,0.863326034,-0.246512165,0.489201633,14
Tylochromis leonensis,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.633356716,2.710532452,3.365946164,-0.077175736,3.056705779,1.116061631,0.025399876,0.718215351,26
Tylochromis polylepis,Tylochromis,Tylochromini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.625979452,2.839937863,3.432058391,-0.213958411,2.801717726,1.021387914,-0.07868385,0.638142599,17
Tylochromis praecox,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.645956617,2.759681018,3.397807226,-0.113724401,2.358063461,0.857024769,-0.192283536,0.449147466,10
Tylochromis robertsi,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.574688391,2.772029594,3.372138909,-0.197341202,2.568715516,0.941990619,-0.118843772,0.551311219,7
Tylochromis sudanensis,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.708050201,3.36729583,-0.068992871,2.513746421,0.921774238,-0.271668205,0.572152868,1
Tylochromis variabilis,Tylochromis,Tylochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.612108976,2.731518754,3.36729583,-0.119409778,2.454540975,0.896857149,-0.186737463,0.512291986,11
Tyrannochromis macrostoma,Tyrannochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,demersal,piscivore,2.58347635,2.930922174,3.465735903,-0.347445823,3.115199927,1.135758927,0.08376243,0.717870377,4
Tyrannochromis nigriventer,Tyrannochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,demersal,piscivore,2.602003344,2.917405369,3.465735903,-0.315402025,3.164712365,1.151928717,0.040064942,0.757467815,2
Variabilichromis moorii,Variabilichromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.694251627,2.867199273,3.478044566,-0.172947646,2.407796488,0.878288285,-0.303705521,0.532643026,10
Xenochromis hecqui,Xenochromis,Perissodini,Other,Lake Tanganyika,not_applicable,data_deficient,pelagic,piscivore,2.708050201,2.950138234,3.529581362,-0.242088033,3.174503352,1.154913976,-0.145058758,0.839405825,9
Xenotilapia bathyphilus,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.579770952,3.090835628,3.560982237,-0.511064676,4.329573354,1.464621422,0.224902589,1.138004492,10
Xenotilapia boulengeri,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.624235735,3.072207432,3.566534746,-0.447971697,3.552544084,1.267166787,0.094842155,0.920085433,10
Xenotilapia caudafasciata,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.547162089,2.995454148,3.489669415,-0.448292059,3.410229654,1.225876528,0.132323209,0.856074027,9
Xenotilapia flavipinnis,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.556945087,3.053826441,3.529259278,-0.496881354,4.012038478,1.388614529,0.127679292,1.064520885,10
Xenotilapia leptura,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.772588722,3.044522438,3.610917913,-0.271933715,4.45983832,1.495112514,0.145625116,1.215985538,1
Xenotilapia longispinis,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.63905733,3.015248339,3.537955539,-0.37619101,3.502989265,1.253085143,0.080847168,0.915625921,10
Xenotilapia nasus,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,data_deficient,demersal,non-piscivore,2.572360155,2.995481961,3.499492858,-0.423121806,3.731065257,1.315929534,0.082610789,0.98885698,10
Xenotilapia nigrolabiata,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.624235735,3.039416406,3.5466518,-0.415180671,3.607874707,1.282824768,0.045030772,0.969368699,10
Xenotilapia ochrogenys,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.564949357,3.122158687,3.575067675,-0.55720933,4.392750665,1.479667128,0.297554721,1.133334535,10
Xenotilapia ornatipinnis,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.605371888,3.009038682,3.520854038,-0.403666794,3.679293241,1.302000565,0.107286407,0.963182218,11
Xenotilapia papilio,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.564101538,3.013157332,3.507103713,-0.449055794,3.841867095,1.345426066,0.140549431,1.001460473,14
Xenotilapia sima,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.516923733,3.126603863,3.560982237,-0.609680131,3.634547975,1.290274768,0.129571167,0.934536266,10
Xenotilapia singularis,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.48490665,3.139750177,3.558165149,-0.654843528,3.960415944,1.37598961,0.171362974,1.039996888,10
"Xenotilapia sp. ""papilio sunflower""",Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.571766681,3.005490306,3.505285038,-0.433723625,3.745369704,1.31967236,0.101102443,0.986282126,10
"Xenotilapia sp. ""spilopterus north""",Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.572360155,3.010369323,3.508448747,-0.438009168,3.404263413,1.224560524,0.026214888,0.884386905,10
Xenotilapia spilopterus,Xenotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.556945087,3.015248339,3.50546345,-0.458303253,3.245979547,1.176946188,-0.013210931,0.829609859,10
